"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract"
"G., Sa, Guodong; Z., Li, Zhinan; Z., Liu, Zhenyu; J., Tan, Jianrong","Sa, Guodong (57205416899); Li, Zhinan (59229219800); Liu, Zhenyu (56228647300); Tan, Jianrong (57216751403)","57205416899; 59229219800; 56228647300; 57216751403","AI-driven design: powered by large language model and intelligent computation","2025","International Journal of Extreme Manufacturing","10.1088/2631-7990/adea23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012383779&doi=10.1088%2F2631-7990%2Fadea23&partnerID=40&md5=24d7e10a0b415b08e93f6a5365e2b98e","To meet the extreme precision requirements of nanometer-scale semiconductor manufacturing and micrometer-level aerospace component processing, the complexity of precision manufacturing equipment design has exceeded the capabilities of traditional design methodologies. Conventional experience-driven design approaches exhibit fundamental limitations when confronting high-dimensional parameter spaces, complex multidisciplinary coupling effects, and dynamic performance prediction requirements, rendering trial-and-error iterative optimization processes inefficient and incapable of achieving optimal solutions. Intelligent design offers new pathways to overcome these limitations through the integration of artificial intelligence (AI) with traditional engineering workflows. However, the transition from theoretical concepts to manufacturing practice encounters three critical technical bottlenecks: the sparsity and heterogeneity of design data constrain the development of domain-specific large models, hallucination phenomena in generative design compromise solution trustworthiness, and numerical simulation methods face fundamental trade-offs between computational accuracy and efficiency. This paper conducts comprehensive analysis of the underlying causes of these challenges and proposes a knowledge-generation-simulation integrated intelligent design ecosystem as a development pathway. This approach achieves deep integration of large models with manufacturing domain knowledge, seamless fusion of AI with Computer-Aided Design/Computer-Aided Engineering (CAD/CAE) systems, and comprehensive synthesis of physics-based mechanisms with data-driven methods, driving the evolution of intelligent design from human-dominated iterative processes toward autonomous collaborative innovation systems, thereby providing robust support for technological breakthroughs in precision and extreme manufacturing equipment while facilitating the intelligent transformation of the manufacturing industry. © 2025 Elsevier B.V., All rights reserved."
"B.G.H., Schoser, Benedikt Gustav Heinrich","Schoser, Benedikt Gustav Heinrich (7004885775)","7004885775","Agentic artificial intelligence in neuromuscular health: a new ecosystem for autonomous digital systems featuring multimodal integration, trial support, and real-world monitoring","2025","Current Opinion in Neurology","10.1097/WCO.0000000000001417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015309977&doi=10.1097%2FWCO.0000000000001417&partnerID=40&md5=4ad98f16039d1e8e84f1d23d2afc5cf6","[No abstract available]"
"N.B., Brito da Cunha, Nicolau Brito; F.C., Fernandes, Fabiano Cavalcanti; A., Gil-Ley, Abel; O.L., Franco, Octavio Luiz; N., Timakondu, Naagma; F.F., Costa, Fabrício Falconi","Brito da Cunha, Nicolau Brito (14826489600); Fernandes, Fabiano Cavalcanti (34869370800); Gil-Ley, Abel (58662707100); Franco, Octavio Luiz (7003941773); Timakondu, Naagma (59967579000); Costa, Fabrício Falconi (57210776084)","14826489600; 34869370800; 58662707100; 7003941773; 59967579000; 57210776084","Bridging BioSciences and technology: The impact of AI & GenAI in life sciences and agribusiness","2025","Gene","10.1016/j.gene.2025.149623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009321512&doi=10.1016%2Fj.gene.2025.149623&partnerID=40&md5=468b917b24c87fdd3b29f8bdefcdd018","The intersection of biosciences and technology has yielded transformative advancements, and Generative Artificial Intelligence (GenAI) started to stand at the forefront of this synergy. In the field of life sciences, GenAI is emerging as a catalyst, accelerating drug discovery by swiftly generating and predicting novel molecules. This expedites the identification of potential drug candidates, significantly reducing time and costs compared to traditional methods. Beyond drug discovery, GenAI contributes to protein folding predictions, genomics research, disease diagnosis and biomarker identification, enhancing our understanding of diseases and health conditions, fostering the development of personalized medicine. In agribusiness, GenAI proves instrumental in optimizing crop breeding and improving agricultural productivity. It can generate new crop varieties with desired traits by analyzing vast datasets comprising genomic and ecological information, addressing challenges such as disease resistance, improved yield, and enhanced nutritional content. Moreover, GenAI transcends traditional applications and extends its influence on synthetic biology, contributing to the design of novel enzymes and pathways. This opens avenues for bio-based manufacturing, renewable energy production, and environmental remediation. By harnessing the power of GenAI, the synergies between biosciences and technology accelerate innovation, improve efficiency, decrease costs, and address critical challenges. Conversely, the ethical considerations surrounding GenAI, especially Large Language Model (LLM) utilization in life sciences and agribusiness, such as data privacy, algorithmic bias, and the equitable distribution of benefits, must be addressed to ensure responsible and fair implementation, especially environment sustainability when utilizing this technology. This review article discusses the multifaceted impact of GenAI in a new era of advancements in life sciences and agribusiness. © 2025 Elsevier B.V., All rights reserved."
"J., Harper, Jeremy","Harper, Jeremy (60055573600)","60055573600","Large language models (LLMs) for healthcare: A practical guide to their process and evaluation","2025","","10.4324/9781003541769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013703166&doi=10.4324%2F9781003541769&partnerID=40&md5=e6941d761351b7a30778200859a943ff","In today's rapidly evolving healthcare environment, one technology stands at the forefront of innovation: large language models (LLMs). Far more than a fleeting hype, LLMs represent a foundational shift in how healthcare professionals interact with and derive value from data. From simplifying clinical note-writing to supporting patient engagement and enhancing administrative processes, LLMs have the power to transform nearly every corner of the healthcare ecosystem. In Large Language Models (LLMs) for Healthcare, Jeremy Harper shines a spotlight on this transformative potential. With clarity and practicality, he explores how these advanced artificial intelligence (AI) tools can reshape clinical workflows, optimize administrative tasks, and ultimately create a more responsive, patient-centered model of care. Over the course of this book, you will discover new opportunities-learn how LLMs can reduce manual documentation burdens, provide intelligent summaries of complex patient histories, and offer real-time translations of clinical jargon; understand the fundamentals-grasp what LLMs are, how they work, and why they can handle vast amounts of clinical text more effectively than previous AI tools; examine key use cases-from automated billing support and smart note generation to patient triage and ethical telehealth consultations; address risks and realities-gain insight into challenges such as ""hallucinations,"" inherent bias, and the critical importance of patient privacy; plan for implementation-explore strategies for prompt engineering, fine-tuning, and rigorous evaluation of LLM solutions; and envision the future - glimpse how LLMs might revolutionize healthcare through enhanced back-office operations and cutting-edge clinical decision support. © 2025 Elsevier B.V., All rights reserved."
"N.M., Tasmurzayev, Nurdaulet M.; B.S., Amangeldy, Bibars Sapargaliuly; B., Imanbek, Baglan; Z.E., Baigarayeva, Zhanel E.; T.S., Imankulov, Timur S.; G., Dikhanbayeva, Gulmira; I., Amangeldi, Inzhu; S., Sharipova, Symbat","Tasmurzayev, Nurdaulet M. (57238311800); Amangeldy, Bibars Sapargaliuly (57239012100); Imanbek, Baglan (56664379200); Baigarayeva, Zhanel E. (57848704300); Imankulov, Timur S. (56086255200); Dikhanbayeva, Gulmira (60042215100); Amangeldi, Inzhu (59407808800); Sharipova, Symbat (59407828400)","57238311800; 57239012100; 56664379200; 57848704300; 56086255200; 60042215100; 59407808800; 59407828400","Digital Cardiovascular Twins, AI Agents, and Sensor Data: A Narrative Review from System Architecture to Proactive Heart Health","2025","Sensors","10.3390/s25175272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015895138&doi=10.3390%2Fs25175272&partnerID=40&md5=8d076b6086f1a7563303cd8e540c24e7","Cardiovascular disease remains the world’s leading cause of mortality, yet everyday care still relies on episodic, symptom-driven interventions that detect ischemia, arrhythmias, and remodeling only after tissue damage has begun, limiting the effectiveness of therapy. A narrative review synthesized 183 studies published between 2016 and 2025 that were located through PubMed, MDPI, Scopus, IEEE Xplore, and Web of Science. This review examines CVD diagnostics using innovative technologies such as digital cardiovascular twins, which involve the collection of data from wearable IoT devices (electrocardiography (ECG), photoplethysmography (PPG), and mechanocardiography), clinical records, laboratory biomarkers, and genetic markers, as well as their integration with artificial intelligence (AI), including machine learning and deep learning, graph and transformer networks for interpreting multi-dimensional data streams and creating prognostic models, as well as generative AI, medical large language models (LLMs), and autonomous agents for decision support, personalized alerts, and treatment scenario modeling, and with cloud and edge computing for data processing. This multi-layered architecture enables the detection of silent pathologies long before clinical manifestations, transforming continuous observations into actionable recommendations and shifting cardiology from reactive treatment to predictive and preventive care. Evidence converges on four layers: sensors streaming multimodal clinical and environmental data; hybrid analytics that integrate hemodynamic models with deep-, graph- and transformer learning while Bayesian and Kalman filters manage uncertainty; decision support delivered by domain-tuned medical LLMs and autonomous agents; and prospective simulations that trial pacing or pharmacotherapy before bedside use, closing the prediction-intervention loop. This stack flags silent pathology weeks in advance and steers proactive personalized prevention. It also lays the groundwork for software-as-a-medical-device ecosystems and new regulatory guidance for trustworthy AI-enabled cardiovascular care. © 2025 Elsevier B.V., All rights reserved."
"A., Nikiforova, Anastasija; M., Lnenicka, Martin; M., Luterek, Mariusz; P., Milić, Petar; M.P., Bolívar Rodríguez, Manuel Pedro","Nikiforova, Anastasija (57204202481); Lnenicka, Martin (55743937500); Luterek, Mariusz (56518298800); Milić, Petar (56175137600); Bolívar Rodríguez, Manuel Pedro (60042893800)","57204202481; 55743937500; 56518298800; 56175137600; 60042893800","Theorizing the evolution of public data ecosystems: An empirically grounded multi-generational model and future research agenda","2025","Government Information Quarterly","10.1016/j.giq.2025.102062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013394800&doi=10.1016%2Fj.giq.2025.102062&partnerID=40&md5=3d3902d053a65fff1d7eef39d150f792","Public Data Ecosystems (PDEs) are increasingly viewed as dynamic socio-technical systems shaped by evolving interactions among actors, infrastructures, data types, and governance mechanisms. Yet, most existing research remains static or domain-specific, offering limited insight into the temporal and co-evolutionary dynamics of PDEs. To address this gap, this study adopts a theory-building approach to examine how PDEs evolve over time and to define a forward-looking research agenda. Drawing on empirical insights from five European countries, we investigate how key meta-characteristics and attributes of PDEs manifest, shift, and co-evolve in practice. Leveraging a recent multi-generational model as an analytical lens, we assess its alignment with real-world trajectories, identify overlooked and emerging features, and revise its structure accordingly. In doing so, we theorize PDE evolution as a multi-generational process shaped by institutional, technological, and contextual dynamics. This results in a refined model that better captures the complexity and diversity of PDE development, particularly considering emerging technologies such as artificial intelligence (AI), generative AI, and large language models (LLMs) shaping the forward-looking PDE generation. Building on these insights, we propose a future research agenda comprising 17 directions organized around revised meta-characteristics. This agenda supports the development of sustainable, resilient, and intelligent PDEs. The study contributes to the theorization of PDEs by offering an empirically grounded, temporally aware, and actionable roadmap for future research and policy design. © 2025 Elsevier B.V., All rights reserved."
"Y., Zhang, Yuanxin; S., Lin, Sijie; Y., Xiong, Yaxin; N., Li, Nan; L., Zhong, Lijin; L., Ding, Longzhen; Q., Hu, Qing","Zhang, Yuanxin (57894720000); Lin, Sijie (57201681616); Xiong, Yaxin (57201254145); Li, Nan (56764943700); Zhong, Lijin (57118788700); Ding, Longzhen (57192311022); Hu, Qing (57158171000)","57894720000; 57201681616; 57201254145; 56764943700; 57118788700; 57192311022; 57158171000","Fine-tuning large language models for interdisciplinary environmental challenges","2025","Environmental Science and Ecotechnology","10.1016/j.ese.2025.100608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012104318&doi=10.1016%2Fj.ese.2025.100608&partnerID=40&md5=528b5f8ae3e451ff04c7001e7e3a7ca1","Large language models (LLMs) are revolutionizing specialized fields by enabling advanced reasoning and data synthesis. Environmental science, however, poses unique hurdles due to its interdisciplinary scope, specialized jargon, and heterogeneous data from climate dynamics to ecosystem management. Despite progress in subdomains like hydrology and climate modeling, no integrated framework exists to generate high-quality, domain-specific training data or evaluate LLM performance across the discipline. Here we introduce a unified pipeline to address this gap. It comprises EnvInstruct, a multi-agent system for prompt generation; ChatEnv, a balanced 100-million-token instruction dataset spanning five core themes (climate change, ecosystems, water resources, soil management, and renewable energy); and EnvBench, a 4998-item benchmark assessing analysis, reasoning, calculation, and description tasks. Applying this pipeline, we fine-tune an 8-billion-parameter model, EnvGPT, which achieves 92.06 ± 1.85 % accuracy on the independent EnviroExam benchmark—surpassing the parameter-matched LLaMA-3.1–8B baseline by ∼8 percentage points and rivaling the closed-source GPT-4o-mini and the 9-fold larger Qwen2.5–72B. On EnvBench, EnvGPT earns top LLM-assigned scores for relevance (4.87 ± 0.11), factuality (4.70 ± 0.15), completeness (4.38 ± 0.19), and style (4.85 ± 0.10), outperforming baselines in every category. This study reveals how targeted supervised fine-tuning on curated domain data can propel compact LLMs to state-of-the-art levels, bridging gaps in environmental applications. By openly releasing EnvGPT, ChatEnv, and EnvBench, our work establishes a reproducible foundation for accelerating LLM adoption in environmental research, policy, and practice, with potential extensions to multimodal and real-time tools. © 2025 Elsevier B.V., All rights reserved."
"H., Kuai, Hongzhi; J.X., Huang, Jimmy Xiangji; X.D., Tao, Xiaohui Daniel; G., Pasi, Gabriella; Y., Yao, Yiyu; J., Liu, Jiming; N., Zhong, Ning","Kuai, Hongzhi (57191408384); Huang, Jimmy Xiangji (57189975304); Tao, Xiaohui Daniel (22837029600); Pasi, Gabriella (7003307397); Yao, Yiyu (59763614600); Liu, Jiming (35230430700); Zhong, Ning (7102138219)","57191408384; 57189975304; 22837029600; 7003307397; 59763614600; 35230430700; 7102138219","Web Intelligence (WI) 3.0: in search of a better-connected world to create a future intelligent society","2025","Artificial Intelligence Review","10.1007/s10462-025-11203-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007223097&doi=10.1007%2Fs10462-025-11203-z&partnerID=40&md5=4ffb029665a7c470eb8366e37719e2e8","Over the past two decades, Web Intelligence (WI) has emerged as a key field driving the evolution of AI in the connected world, addressing the demands of a future intelligent society. This paper provides a comprehensive review of WI’s contributions since its inception in 2000, spanning three distinct phases: Wisdom World Wide Web (WI 1.0, 2000–2009), Wisdom Web of Things (WI 2.0, 2010–2017), and Wisdom Web of Everything (WI 3.0, since 2018). For each phase, we examine key advancements, challenges, and future directions from the perspectives of both intelligent machines and human experts, highlighting significant societal impacts. To advance WI research, we propose a large language model-based learning framework for topic analysis and trend prediction. Moving beyond single-perspective approaches, we emphasize the Connected Intelligence Ecosystem defined by the HIGH5 scheme comprising one goal, two twins, three fundamentals, four functions, and five services that are realized through WI 3.0. This vision serves as a bridge from localized models to a global reference framework for addressing sustainability challenges in future societies. To illustrate the real-world implications of WI 3.0, we present case studies focusing on brain-inspired research, particularly in the intersection of brain intelligence, brain health, and brainternet-fostering interdisciplinary collaboration across diverse research communities. © 2025 Elsevier B.V., All rights reserved."
"K., Fotova Čiković, Katerina; V., Cvetkoska, Violeta; D., Primorac, Dinko","Fotova Čiković, Katerina (57751300400); Cvetkoska, Violeta (56497881300); Primorac, Dinko (57132497700)","57751300400; 56497881300; 57132497700","The Nexus Between Green Finance and Artificial Intelligence: A Systemic Bibliometric Analysis Based on Web of Science Database","2025","Journal of Risk and Financial Management","10.3390/jrfm18080420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014634321&doi=10.3390%2Fjrfm18080420&partnerID=40&md5=43f01a4501fa64c2b672f63ac9dc773d","The intersection of green finance and artificial intelligence (AI) represents a rapidly emerging and high-impact research domain with the potential to reshape sustainable economic systems. This study presents a comprehensive bibliometric and network analysis aimed at mapping the scientific landscape, identifying research hotspots, and highlighting methodological trends at this nexus. A dataset of 268 peer-reviewed publications (2014–June 2025) was retrieved from the Web of Science Core Collection, filtered by the Business Economics category. Analytical techniques employed include Bibliometrix in R, VOSviewer, and science mapping tools such as thematic mapping, trend topic analysis, co-citation networks, and co-occurrence clustering. Results indicate an annual growth rate of 53.31%, with China leading in both productivity and impact, followed by Vietnam and the United Kingdom. The most prolific affiliations and authors, primarily based in China, underscore a concentrated regional research output. The most relevant journals include Energy Economics and Finance Research Letters. Network visualizations identified 17 clusters, with focused analysis on the top three: (1) Emission, Health, and Environmental Risk, (2) Institutional and Technological Infrastructure, and (3) Green Innovation and Sustainable Urban Development. The methodological landscape is equally diverse, with top techniques including blockchain technology, large language models, convolutional neural networks, sentiment analysis, and structural equation modeling, demonstrating a blend of traditional econometrics and advanced AI. This study not only uncovers intellectual structures and thematic evolution but also identifies underdeveloped areas and proposes future research directions. These include dynamic topic modeling, regional case studies, and ethical frameworks for AI in sustainable finance. The findings provide a strategic foundation for advancing interdisciplinary collaboration and policy innovation in green AI–finance ecosystems. © 2025 Elsevier B.V., All rights reserved."
"H., Xu, Haowen; S., Zlatanova, Sisi; R., Liang, Ruiyu; I., Canbulat, I.","Xu, Haowen (56843803400); Zlatanova, Sisi (15830792100); Liang, Ruiyu (57208823223); Canbulat, I. (6507936520)","56843803400; 15830792100; 57208823223; 6507936520","Generative AI as a Pillar for Predicting 2D and 3D Wildfire Spread: Beyond Physics-Based Models and Traditional Deep Learning","2025","Fire","10.3390/fire8080293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014481730&doi=10.3390%2Ffire8080293&partnerID=40&md5=16ea96a337595251e3082f2ae334450d","Wildfires increasingly threaten human life, ecosystems, and infrastructure, with events like the 2025 Palisades and Eaton fires in Los Angeles County underscoring the urgent need for more advanced prediction frameworks. Existing physics-based and deep-learning models struggle to capture dynamic wildfire spread across both 2D and 3D domains, especially when incorporating real-time, multimodal geospatial data. This paper explores how generative artificial intelligence (AI) models—such as GANs, VAEs, and transformers—can serve as transformative tools for wildfire prediction and simulation. These models offer superior capabilities in managing uncertainty, integrating multimodal inputs, and generating realistic, scalable wildfire scenarios. We adopt a new paradigm that leverages large language models (LLMs) for literature synthesis, classification, and knowledge extraction, conducting a systematic review of recent studies applying generative AI to fire prediction and monitoring. We highlight how generative approaches uniquely address challenges faced by traditional simulation and deep-learning methods. Finally, we outline five key future directions for generative AI in wildfire management, including unified multimodal modeling of 2D and 3D dynamics, agentic AI systems and chatbots for decision intelligence, and real-time scenario generation on mobile devices, along with a discussion of critical challenges. Our findings advocate for a paradigm shift toward multimodal generative frameworks to support proactive, data-informed wildfire response. © 2025 Elsevier B.V., All rights reserved."
